DATE,POWER FLOW (mcm),ENERGY (GWh),RES ELEV (m),SPILL (mcm),GROSS STORAGE (mcm),RAIN (mm)
27-Mar-85,4.55,2.02,416.09,0.00,320.22,-1.00
28-Mar-85,4.80,2.13,415.79,0.00,315.99,-1.00
29-Mar-85,4.77,2.11,415.45,0.00,311.33,-1.00
30-Mar-85,4.53,2.00,415.11,0.00,306.54,-1.00
31-Mar-85,4.77,2.11,415.11,0.00,306.54,-1.00
1-Apr-85,2.96,1.30,414.49,0.00,299.38,-1.00
2-Apr-85,3.34,1.47,414.31,0.00,297.45,-1.00
3-Apr-85,3.02,1.33,414.10,0.00,295.07,-1.00
4-Apr-85,1.65,0.72,413.86,0.00,292.44,-1.00
5-Apr-85,3.96,1.73,413.76,0.00,291.32,-1.00
6-Apr-85,4.06,1.78,413.50,0.00,288.50,-1.00
7-Apr-85,3.71,1.62,413.24,0.00,285.65,-1.00
8-Apr-85,3.57,1.56,413.22,0.00,285.38,-1.00
9-Apr-85,3.49,1.52,413.07,0.00,283.79,-1.00
10-Apr-85,4.13,1.80,412.83,0.00,281.13,-1.00
11-Apr-85,3.90,1.70,412.52,0.03,277.72,-1.00
12-Apr-85,3.33,1.45,412.41,0.09,276.55,-1.00
13-Apr-85,3.06,1.33,412.29,0.00,275.15,-1.00
14-Apr-85,3.45,1.50,412.15,0.00,273.62,-1.00
15-Apr-85,3.46,1.50,411.90,0.00,270.85,-1.00
16-Apr-85,2.52,1.09,411.65,0.00,267.70,-1.00
17-Apr-85,2.42,1.05,411.54,0.00,266.95,-1.00
18-Apr-85,2.62,1.13,411.37,0.00,265.03,-1.00
19-Apr-85,2.50,1.08,411.19,0.00,262.64,-1.00
20-Apr-85,2.49,1.07,410.99,0.00,260.89,-1.00
21-Apr-85,3.02,1.30,410.82,0.00,259.01,-1.00
22-Apr-85,2.51,1.08,410.64,0.00,257.08,-1.00
23-Apr-85,2.33,1.00,410.44,0.00,254.87,-1.00
24-Apr-85,3.16,1.36,410.31,0.00,253.41,-1.00
25-Apr-85,2.82,1.21,410.04,0.00,250.44,-1.00
26-Apr-85,2.25,0.96,409.82,0.00,248.23,-1.00
27-Apr-85,2.58,1.11,409.64,0.00,246.40,-1.00
28-Apr-85,4.11,1.76,409.31,0.00,243.07,-1.00
29-Apr-85,4.91,2.09,408.96,0.00,239.56,-1.00
30-Apr-85,2.37,1.01,408.57,0.00,235.72,-1.00
1-May-85,1.63,0.69,408.38,0.00,233.78,-1.00
2-May-85,2.27,0.96,408.25,0.00,232.46,-1.00
3-May-85,2.65,1.13,408.05,0.00,230.50,-1.00
4-May-85,0.81,0.34,407.80,0.00,227.98,-1.00
5-May-85,2.84,1.20,407.75,0.00,227.50,-1.00
6-May-85,2.97,1.25,407.38,0.00,223.80,-1.00
7-May-85,4.03,1.70,407.04,0.00,220.40,-1.00
8-May-85,3.73,1.57,406.67,0.00,216.66,-1.00
9-May-85,4.43,1.86,406.30,0.00,212.99,-1.00
10-May-85,4.56,1.91,405.81,0.00,208.08,-1.00
11-May-85,3.76,1.57,405.38,0.00,203.84,-1.00
12-May-85,1.38,0.58,405.09,0.00,200.93,-1.00
13-May-85,3.39,1.41,405.00,0.00,200.00,-1.00
14-May-85,2.94,1.22,404.57,0.00,196.98,-1.00
15-May-85,2.57,1.07,404.32,0.00,195.22,-1.00
16-May-85,3.12,1.30,404.19,0.00,194.30,-1.00
17-May-85,2.18,0.90,404.07,0.00,193.51,-1.00
18-May-85,2.03,0.84,404.18,0.00,194.29,-1.00
19-May-85,1.73,0.72,404.54,0.00,196.81,-1.00
20-May-85,2.67,1.11,404.64,0.00,197.65,-1.00
21-May-85,2.43,1.01,404.83,0.00,198.79,-1.00
22-May-85,1.89,0.79,405.05,0.00,200.48,-1.00
23-May-85,1.89,0.79,405.05,0.44,200.54,-1.00
24-May-85,3.53,1.48,406.07,0.00,210.65,-1.00
25-May-85,2.70,1.13,406.53,0.00,215.33,-1.00
26-May-85,1.94,0.82,406.90,0.00,219.02,-1.00
27-May-85,3.04,1.28,407.39,0.00,223.86,-1.00
28-May-85,3.09,1.31,407.98,0.00,229.80,-1.00
29-May-85,4.08,1.73,408.16,0.00,231.63,-1.00
30-May-85,3.52,1.49,408.04,0.00,230.36,-1.00
31-May-85,3.09,1.31,407.88,0.00,228.80,-1.00
1-Jun-85,1.77,0.76,409.12,0.00,241.90,-1.00
2-Jun-85,0.49,0.21,410.72,0.00,257.95,-1.00
3-Jun-85,1.74,0.75,411.83,0.00,270.17,-1.00
4-Jun-85,1.42,0.62,412.69,0.00,279.63,-1.00
5-Jun-85,1.41,0.62,413.91,0.00,293.02,-1.00
6-Jun-85,0.57,0.26,419.62,0.00,369.74,-1.00
7-Jun-85,0.45,0.21,421.72,0.00,402.46,-1.00
8-Jun-85,2.08,0.96,422.40,0.00,413.46,-1.00
9-Jun-85,0.44,0.20,422.69,0.00,418.06,-1.00
10-Jun-85,0.68,0.32,423.27,0.00,427.32,-1.00
11-Jun-85,2.42,1.12,423.53,0.00,431.50,-1.00
12-Jun-85,2.24,1.04,423.51,0.00,431.21,-1.00
13-Jun-85,1.65,0.76,423.43,0.00,429.94,-1.00
14-Jun-85,0.47,0.22,423.63,0.00,433.05,-1.00
15-Jun-85,0.56,0.26,424.15,0.00,441.38,-1.00
16-Jun-85,0.62,0.29,424.62,0.00,448.95,-1.00
17-Jun-85,1.67,0.78,425.12,0.00,457.14,-1.00
18-Jun-85,0.48,0.22,425.75,0.00,468.43,-1.00
19-Jun-85,0.50,0.23,426.36,0.00,479.46,-1.00
20-Jun-85,0.51,0.24,427.48,0.00,499.57,-1.00
21-Jun-85,1.51,0.72,429.03,0.00,527.54,-1.00
22-Jun-85,0.97,0.47,430.79,0.00,561.63,-1.00
23-Jun-85,0.35,0.17,432.95,25.96,606.95,-1.00
24-Jun-85,1.85,0.90,433.84,38.90,625.56,-1.00
25-Jun-85,1.63,0.80,435.58,70.95,663.97,-1.00
26-Jun-85,2.29,1.13,436.08,74.20,675.87,-1.00
27-Jun-85,0.98,0.48,435.20,30.11,654.68,-1.00
28-Jun-85,0.86,0.43,435.53,6.91,662.70,-1.00
29-Jun-85,0.62,0.30,436.10,24.65,676.38,-1.00
30-Jun-85,0.33,0.16,435.70,20.71,666.90,-1.00
1-Jul-85,0.28,0.14,435.56,11.96,663.44,-1.00
2-Jul-85,0.58,0.28,435.62,9.38,664.99,-1.00
3-Jul-85,2.60,1.28,436.00,1.56,673.98,-1.00
4-Jul-85,0.53,0.26,436.12,0.00,676.95,-1.00
5-Jul-85,0.81,0.40,436.50,0.00,686.02,-1.00
6-Jul-85,0.94,0.47,437.08,0.00,699.90,-1.00
7-Jul-85,0.51,0.25,437.67,0.00,713.98,-1.00
8-Jul-85,2.48,1.23,437.92,0.00,720.13,-1.00
9-Jul-85,3.33,1.66,437.96,0.00,721.14,-1.00
10-Jul-85,3.74,1.86,438.09,2.81,724.09,-1.00
11-Jul-85,3.99,1.99,438.07,6.90,723.63,-1.00
12-Jul-85,4.05,2.01,438.01,15.20,722.26,-1.00
13-Jul-85,3.56,1.77,437.75,5.76,715.90,-1.00
14-Jul-85,3.37,1.68,437.73,0.00,715.59,-1.00
15-Jul-85,3.44,1.71,438.28,82.34,728.62,-1.00
16-Jul-85,3.49,1.74,438.19,45.88,726.49,-1.00
17-Jul-85,2.24,1.11,437.79,6.71,716.84,-1.00
18-Jul-85,2.10,1.05,437.94,11.90,720.54,-1.00
19-Jul-85,3.27,1.63,438.06,11.30,723.34,-1.00
20-Jul-85,3.45,1.72,438.02,7.71,722.43,-1.00
21-Jul-85,3.35,1.67,438.02,7.82,722.58,-1.00
22-Jul-85,3.29,1.64,438.03,7.46,722.79,-1.00
23-Jul-85,2.70,1.34,437.95,3.70,720.82,-1.00
24-Jul-85,3.13,1.56,437.98,2.57,721.57,-1.00
25-Jul-85,3.06,1.52,437.97,0.00,721.28,-1.00
26-Jul-85,2.47,1.23,437.98,2.65,721.50,-1.00
27-Jul-85,3.39,1.69,437.95,0.00,720.85,-1.00
28-Jul-85,3.38,1.68,437.97,0.00,721.26,-1.00
29-Jul-85,3.41,1.70,437.99,0.00,721.74,-1.00
30-Jul-85,3.29,1.64,437.96,0.00,721.19,-1.00
31-Jul-85,1.55,0.77,437.94,0.00,720.46,-1.00
1-Aug-85,1.77,0.88,437.95,0.00,720.75,-1.00
2-Aug-85,2.09,1.04,438.00,0.00,721.90,-1.00
3-Aug-85,3.43,1.71,437.91,0.00,719.94,-1.00
4-Aug-85,3.36,1.67,437.85,0.00,718.47,-1.00
5-Aug-85,2.97,1.48,437.75,0.00,715.90,-1.00
6-Aug-85,3.40,1.69,437.67,0.00,714.10,-1.00
7-Aug-85,3.39,1.68,437.57,0.00,711.58,-1.00
8-Aug-85,3.84,1.91,437.57,0.00,711.70,-1.00
9-Aug-85,3.40,1.69,437.50,0.00,710.00,-1.00
10-Aug-85,3.67,1.82,437.42,0.00,708.76,-1.00
11-Aug-85,3.53,1.75,437.40,0.00,707.67,-1.00
12-Aug-85,3.41,1.69,437.34,0.00,706.21,-1.00
13-Aug-85,4.12,2.05,437.44,0.00,708.63,-1.00
14-Aug-85,3.57,1.77,437.59,0.00,712.06,-1.00
15-Aug-85,3.42,1.70,437.61,0.00,712.52,-1.00
16-Aug-85,3.39,1.68,437.79,0.00,717.01,-1.00
17-Aug-85,2.72,1.36,437.93,0.00,720.42,-1.00
18-Aug-85,1.90,0.95,438.03,3.74,722.77,-1.00
19-Aug-85,1.95,0.97,438.14,22.33,731.41,-1.00
20-Aug-85,3.39,1.69,438.02,6.58,722.36,-1.00
21-Aug-85,3.40,1.69,438.00,4.20,722.07,-1.00
22-Aug-85,3.41,1.70,437.98,2.32,721.62,-1.00
23-Aug-85,3.40,1.69,437.98,4.50,721.54,-1.00
24-Aug-85,2.49,1.24,438.00,0.00,722.05,-1.00
25-Aug-85,3.45,1.72,438.05,5.18,723.08,-1.00
26-Aug-85,3.43,1.71,437.99,0.00,721.71,-1.00
27-Aug-85,3.48,1.73,438.03,1.93,722.74,-1.00
28-Aug-85,3.42,1.70,438.02,0.00,722.53,-1.00
29-Aug-85,3.43,1.71,438.02,0.00,722.58,-1.00
30-Aug-85,3.00,1.49,437.91,0.00,719.91,-1.00
31-Aug-85,1.33,0.66,437.84,0.00,718.14,-1.00
1-Sep-85,3.14,1.56,437.80,0.00,717.10,-1.00
2-Sep-85,4.18,2.08,437.72,1.13,715.18,-1.00
3-Sep-85,4.60,2.28,437.53,1.81,710.60,-1.00
4-Sep-85,4.31,2.14,437.29,1.42,705.03,-1.00
5-Sep-85,4.46,2.21,437.11,0.37,700.62,-1.00
6-Sep-85,4.34,2.15,436.97,0.00,697.18,-1.00
7-Sep-85,1.27,0.63,436.84,3.36,694.04,-1.00
